RentRate,Age,OperExp,VacRate,SqFt,Taxes,W2MiDT
13.5,1,5.02,0.14,123000,2.21,0
12,14,8.19,0.27,104079,1.87,0
10.5,16,3,0,39998,0.72,0
15,4,10.7,0.05,57112,1.03,0
14,11,8.97,0.07,60000,1.08,0
10.5,15,9.45,0.24,101385,1.82,0
14,2,8,0.19,31300,0.56,0
16.5,1,6.62,0.6,248172,4.47,1
17.5,1,6.2,0,215000,3.87,1
16.5,8,11.78,0.03,251015,4.52,1
17,12,14.62,0.08,291264,5.24,1
16.5,2,11.55,0.03,207549,3.74,1
16,2,9.63,0,82000,1.48,1
16.5,13,12.99,0.04,359665,6.47,0
17.225,2,12.01,0.03,265500,4.78,1
17,1,12.01,0,299000,5.38,1
16,1,7.99,0.14,189258,3.41,1
14.625,12,10.33,0.12,366013,6.59,0
14.5,16,10.67,0,349930,6.3,0
14.5,3,9.45,0.03,85335,1.54,0
16.5,6,12.65,0.13,235932,4.25,1
16.5,3,12.08,0,130000,2.34,1
15,3,10.52,0.05,40500,0.73,0
15,3,9.47,0,40500,0.73,0
13,14,11.62,0,45959,0.83,0
12.5,1,5,0.33,120000,2.16,0
14,15,9.89,0.05,81243,1.46,0
13.75,16,11.13,0.06,153947,2.77,0
14,2,7.96,0.22,97321,1.75,0
15,16,10.73,0.09,276099,4.97,0
13.75,2,7.95,0,90000,1.62,0
15.625,3,9.1,0,184000,3.31,0
15.625,3,12.05,0.03,184718,3.32,0
13,16,8.43,0.04,96000,1.73,0
14,16,10.6,0.04,106350,1.91,0
15.25,13,10.55,0.1,135512,2.44,0
16.25,1,5.5,0.21,180000,3.24,1
13,14,8.53,0.03,315000,5.67,0
14.5,3,9.04,0.04,42500,0.77,0
11.5,15,8.2,0,30005,0.54,1
14.25,1,6.13,0,60000,1.08,0
15.5,15,8.32,0,73521,1.32,0
12,1,4,0,50000,0.9,0
14.25,15,10.1,0,50724,0.91,0
14,3,5.25,0.16,31750,0.57,0
16.5,3,11.62,0,168000,3.02,1
14.5,4,5.31,0,70000,1.26,0
15.5,1,5.75,0,27000,0.49,0
16.75,4,12.46,0.03,129614,2.33,1
16.75,4,12.75,0,129614,2.33,1
16.75,2,12.75,0,130000,2.34,1
16.75,2,11.38,0,209000,3.76,1
17,1,5.99,0.57,220000,3.96,1
16,2,11.37,0.27,60000,1.08,1
14.5,3,10.38,0,110000,1.98,0
15,15,10.77,0.05,101206,1.82,0
15,17,11.3,0,288847,5.2,0
16,1,7.06,0.14,105000,1.89,1
15.5,14,12.1,0.05,276425,4.98,0
15.25,2,10.04,0.06,33000,0.59,0
16.5,1,4.99,0.73,210000,3.78,1
19.25,0,7.33,0.22,240000,4.32,1
17.75,18,12.11,0,281552,5.07,1
18.75,16,12.86,0,421000,7.58,1
19.25,13,12.7,0.04,484290,8.72,1
14,20,11.58,0,234493,4.22,0
14,18,11.58,0.03,230675,4.15,0
18,16,12.97,0.08,296966,5.35,1
13.75,1,4.82,0,32000,0.58,0
15,2,9.75,0.03,38533,0.69,0
15.5,16,10.36,0.02,109912,1.98,0
15.9,1,8.13,0.23,236000,4.25,0
15.25,15,13.23,0.05,243338,4.38,0
15.5,4,10.57,0.04,122183,2.2,0
14.75,20,11.22,0,128268,2.31,0
15,3,10.34,0,72000,1.3,0
14.5,3,10.67,0,43404,0.78,0
13.5,18,8.6,0.08,59443,1.07,0
15,15,11.97,0.14,254700,4.58,0
15.25,11,11.27,0.03,434746,7.83,0
14.5,14,12.68,0.03,201930,3.63,0
15,2,11.6,0.04,65600,1.18,1
16.7,3,12.2,0.01,134000,2.41,1
18.5,14,11.3,0,380000,6.84,1
15.4,10,12.8,0.07,280500,5.05,0
12.3,13,8.76,0.22,110500,1.99,0
17.7,1,12.85,0.02,250458,4.51,1
10.8,14,3.27,0.05,51200,0.92,0
13.2,3,5.18,0.01,38000,0.68,0
19.1,12,11.8,0.03,410860,7.4,1
14.2,13,10.85,0.09,340350,6.13,0
17.4,2,12.3,0.04,271500,4.89,1
15.8,3,7.46,0.11,175460,3.16,1
12.9,15,8.85,0.18,124890,2.25,0
13.4,16,9.15,0.06,99500,1.79,0
12.3,5,5.13,0.14,105940,1.91,0
16.2,3,11.9,0.05,94150,1.69,0
10.8,19,7.28,0.22,92410,1.66,0
18.45,13,10.87,0.03,408150,7.35,1
16.35,3,7.48,0.08,165304,2.98,1
